id,duration,start_date,start_station,end_date,end_station,bike_number,sub_type,zip_code,birth_date,gender
229,4136,"2011-07-28 17:45:00",16,"2011-07-28 18:54:00",36,B00360,Casual,"","",""
230,756,"2011-07-28 17:47:00",36,"2011-07-28 18:00:00",39,B00279,Registered,"'02118",1971.0,Male
231,1597,"2011-07-28 17:49:00",45,"2011-07-28 18:16:00",36,B00390,Casual,"","",""
232,1573,"2011-07-28 17:49:00",45,"2011-07-28 18:16:00",36,B00198,Casual,"","",""
233,656,"2011-07-28 17:50:00",38,"2011-07-28 18:01:00",22,B00474,Registered,"'02186",1974.0,Male
234,638,"2011-07-28 17:52:00",24,"2011-07-28 18:02:00",44,B00246,Casual,"","",""
235,362,"2011-07-28 17:51:00",13,"2011-07-28 17:57:00",26,B00026,Casual,"","",""
236,465,"2011-07-28 17:52:00",44,"2011-07-28 18:00:00",22,B00136,Casual,"","",""
237,34,"2011-07-28 17:54:00",17,"2011-07-28 17:55:00",17,B00236,Registered,"'02163",1986.0,Male
238,685,"2011-07-28 17:59:00",42,"2011-07-28 18:10:00",23,B00340,Casual,"","",""
239,1097,"2011-07-28 17:57:00",22,"2011-07-28 18:16:00",25,B00040,Registered,"'02118",1978.0,Female
240,1113,"2011-07-28 17:57:00",22,"2011-07-28 18:16:00",25,B00298,Registered,"'02118",1979.0,Female
241,1302,"2011-07-28 18:02:00",41,"2011-07-28 18:24:00",46,B00215,Casual,"","",""
242,569,"2011-07-28 18:02:00",36,"2011-07-28 18:11:00",42,B00385,Casual,"","",""
243,187,"2011-07-28 18:03:00",47,"2011-07-28 18:07:00",38,B00419,Casual,"","",""
244,1251,"2011-07-28 18:03:00",41,"2011-07-28 18:24:00",46,B00094,Casual,"","",""
245,3886,"2011-07-28 18:03:00",38,"2011-07-28 19:08:00",15,B00464,Casual,"","",""
246,3798,"2011-07-28 18:03:00",38,"2011-07-28 19:06:00",15,B00082,Casual,"","",""
247,3177,"2011-07-28 18:04:00",33,"2011-07-28 18:57:00",33,B00223,Casual,"","",""
248,952,"2011-07-28 18:04:00",36,"2011-07-28 18:20:00",27,B00353,Registered,"'02130",1984.0,Male
249,787,"2011-07-28 18:08:00",36,"2011-07-28 18:21:00",36,B00528,Registered,"'02116",1987.0,Male
250,192,"2011-07-28 18:10:00",10,"2011-07-28 18:13:00",9,B00008,Casual,"","",""
251,736,"2011-07-28 18:12:00",35,"2011-07-28 18:24:00",36,B00016,Casual,"","",""
252,1549,"2011-07-28 18:14:00",42,"2011-07-28 18:39:00",42,B00385,Casual,"","",""
